# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	8422
#@/user_id	2488dab6-35e1-46fa-a642-3badcfe375a3
chuan 	傳	c=1 d=0.390628 t=8422
chuan bo zhe 	傳播者	c=1 d=2.9763e-08 t=8422
chuan hao 	穿好	c=1 d=1.57832e-16 t=8422
chuan qi 	穿起	c=0 d=1.85186e-15 t=8422
chuan qi mei you 	穿起沒有	c=1 d=1.86114e-14 t=8422
chuan tong 	傳統	c=4 d=0.367166 t=8422
chuan tong wen huan 	傳統問換	c=1 d=0.0605068 t=8422
chuan xi 	喘息	c=1 d=6.72627e-12 t=8422
chuang shang 	牀上	c=1 d=8.66201e-17 t=8422
chuang xin 	創新	c=1 d=0.0209629 t=8422
chuang zao 	創造	c=2 d=0.0841795 t=8422
chuang zao chu lai 	創造出來	c=1 d=1.50784e-08 t=8422
chuang zao li 	創造力	c=0 d=1.25946e-09 t=8422
chuang zuo 	創作	c=2 d=0.045275 t=8422
chui 	吹	c=0 d=0.00939493 t=8422
chui man di 	吹滿地	c=1 d=0.0944202 t=8422
chun 	純	c=3 d=0.000167941 t=8422
chun feng 	春風	c=1 d=0.107132 t=8422
ci 	次	c=2 d=0.174645 t=8422
ci 	此	c=1 d=0.0180087 t=8422
ci 	詞	c=16 d=0.0327124 t=8422
ci ang liang ji 	此昂兩級	c=1 d=0.0411719 t=8422
ci bu fen 	此部分	c=2 d=2.45935e-10 t=8422
ci de 	詞的	c=1 d=3.72665e-06 t=8422
ci hou 	此後	c=1 d=7.69754e-08 t=8422
ci hou de 	此後的	c=4 d=0.00244155 t=8422
ci lie biao 	詞列表	c=5 d=0.0965824 t=8422
ci pan 	磁盤	c=2 d=0.506617 t=8422
ci pin 	詞頻	c=1 d=0.0104463 t=8422
ci qi 	瓷器	c=0 d=0.0522046 t=8422
ci qi jin 	瓷器進	c=1 d=0.524663 t=8422
ci qian 	此前	c=2 d=8.94281e-16 t=8422
ci shi 	此時	c=1 d=4.22285e-06 t=8422
ci shu 	次數	c=2 d=1.33922e-16 t=8422
ci wen jian 	此文件	c=1 d=0.00204983 t=8422
ci yao 	次要	c=2 d=4.84073e-13 t=8422
ci yu 	詞語	c=5 d=2.7041e-05 t=8422
cong 	從	c=14 d=0.834261 t=8422
cong face id gao 	從Face ID高	c=1 d=3.74725e-12 t=8422
cong lin 	叢林	c=2 d=4.93657e-12 t=8422
cong wei 	從未	c=0 d=1.13176e-16 t=8422
cong yi kai shi 	從一開始	c=1 d=0.0227089 t=8422
cong zhong 	從中	c=1 d=0.000122182 t=8422
cong zuo zhi you 	從左至右	c=1 d=2.51836e-13 t=8422
cu xi 	粗細	c=1 d=1.14532e-08 t=8422
cun 	存	c=0 d=2.69912e-06 t=8422
cun chu 	存儲	c=5 d=0.023811 t=8422
cun cu 	存粗	c=1 d=0.00980366 t=8422
cun pa lou 	存爬樓	c=1 d=2.71265e-05 t=8422
cuo bie zi 	錯別字	c=1 d=2.21023e-07 t=8422
cuo wu lv 	錯誤率	c=4 d=6.94468e-14 t=8422
da 	大	c=3 d=0.0218184 t=8422
da 	打	c=1 d=0.00230521 t=8422
da bao 	打包	c=3 d=4.25826e-12 t=8422
da bao shi yi 	打包事宜	c=1 d=2.16197e-12 t=8422
da bao zha 	大爆炸	c=1 d=1.23813e-13 t=8422
da bian 	答辯	c=1 d=0.00205478 t=8422
da bu fen 	大部分	c=2 d=0.621885 t=8422
da bu fen yong yu 	大部分用於	c=1 d=4.25863e-17 t=8422
da da 	大大	c=0 d=0.000406639 t=8422
da da jia kuai 	大大加快	c=1 d=0.00408677 t=8422
da dao 	達到	c=3 d=0.348307 t=8422
da duo shu 	大多數	c=0 d=0.0786628 t=8422
da fan dian 	大飯店	c=1 d=9.14398e-07 t=8422
da fu 	大幅	c=2 d=0.247833 t=8422
da fu du 	大幅度	c=1 d=8.10998e-07 t=8422
da gong si 	大公司	c=1 d=5.71793e-13 t=8422
da gui mo 	大規模	c=2 d=0.203877 t=8422
da gui mo shu ju 	大規模數據	c=1 d=0.254107 t=8422
da gui mo wen ben 	大規模文本	c=1 d=0.044601 t=8422
